"Respondent Number","Date","Time","Channel","What is your job title?","How many years of experience do you have?","What is your current work situation?","If you are employed by a company, are you:","How would you classify your company?","Are you:","Who do you work with on a regular basis?","Are you co-located with developers?","Please share any other details about your employment that you think might be relevant to this survey.","In which of the following skills do you consider yourself to be competent?","What technologies can you use competently?","In which of these activities do you regularly participate?","Are there any other skills or experience that you think may be relevant to this survey?","Do you use issue tracking software (e.g. JIRA, Bugzilla)? If so, what for?","Do you use version control software (e.g. Subversion, GitHub)? If so, what for?","To what degree are you consulted by developers?","Are there management-sanctioned processes in place that require design involvement in all UI work? If so, please explain.","Do you work directly in the production code base?","Do you participate in code reviews?","Do developers participate in design activities? If so, please explain.","What kind of relationship do you have with the developers you work with?","Please provide any other information you feel is relevant to this survey."
32,"2011/13/12","15:17:16","Working with Developers Survey","User Experience Architect","12","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","The only designer","Front End Developers, Back End Developers","Yes, in the same building.","I am a one person UX department. There are 2 user education people (technical writers) here also. We have a total of about 150 employees.","Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS, ActionScript, JavaScript, DOJO, Prototype, C#, Visual Basic, XML","Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Digital prototyping (e.g. HTML, Flash), Usability testing","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my design deliverables., I use it for version control of my prototype code.","I work integrally with the developers throughout all project phases.","We use a Microsoft Solutions Framework / Agile process. For all projects with user interaction impact, I am consulted. But there is more work than I can fully support, so often design work for small projects I have little impact on. I generally work on 2-3 large scale projects simultaneously.","No","No","Lead developers & architects are heavily involved in design meetings & are reviewers for UI designs.","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., They consider me to be the one that \"makes things pretty\".",""
33,"2011/13/12","15:28:03","Working with Developers Survey","User Experience Designer","12","Large Company (more than 100 employees)","Working on an external client's products/services","Other, please specify (Consulting)","Part of a large design group","Visual Designers, Information Architects, Front End Developers, Software Architects","Yes, in the same room.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing","","The developers use it, but I do not.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","Yes, in design critiques","We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
34,"2011/13/12","15:33:05","Working with Developers Survey","Senior Interaction Designer","10","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Visual Designers, Interaction Designers, Front End Developers","No.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, Other, please specify (Observational Research and related analysis)","HTML, CSS, JavaScript, jQuery, Java, Processing, Other, please specify (Paper and pencil)","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing","","I am assigned tasks by other members of my team through it., I create tasks for myself in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","It's supposed to be that way, but the design leadership doesn't have true design or process education, so it's very lacking in reality.","No","No","Yes...they want to be considered full designers, but simply lack the education/skills, so it causes a lot of frustration for interaction designers.","It is a purely business relationship.",""
35,"2011/13/12","16:01:27","Working with Developers Survey","User Experience Practitioner","2","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","Yes, in the same building.","Our UX department doesn't have specializations. There are three of us and we do visual, IA, ID, usability, process, writing, etc. depending upon what is needed in the project we're currently assigned to. Also, until recently we were working in the midst of the developers. We moved into our own room due to space constraints.","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","Other, please specify (Omnigraffle, Photoshop)","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials","","I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","We are one and the same. There is a design review process that we do for prototypes pre and mid development for input on designs from stakeholders in the team, but final decisions lie with the designers.","No","No","Developers participate in specifications, design reviews and any related design studios, workshops, etc.","We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
36,"2011/13/12","16:03:38","Working with Developers Survey","Experience Design Manager","10","Large Company (more than 100 employees)","Doing work on your own company's products/services","UX/Design firm","Part of a small design team","Visual Designers, Interaction Designers, Service Designers, Front End Developers, Back End Developers, Software Prototypers, Software Architects, Other, please specify (social media)","No.","","Visual design, Other, please specify (user reseach)","HTML","User research, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation, Bug reporting","","I report bugs in it.","","","","","","","We do things together socially outside of work., They respect my skills and value my contributions., I respect their skills and value their input.",""
37,"2011/13/12","16:48:21","Working with Developers Survey","","","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","Other, please specify (null)","","Yes, in the same room.","","","","","","The developers use it, but I do not.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","No","","They respect my skills and value my contributions., I respect their skills and value their input.",""
38,"2011/13/12","17:11:30","Working with Developers Survey","User Experience Architect","5","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Front End Developers, Back End Developers","Yes, in the same room.","","Information architecture, User interface design, Usability evaluation, UI specification","","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Usability testing","","The developers use it, but I do not.","I use it for version control of my design deliverables.","Developers regularly come to me with questions during implementation.","Yes. I am not a visual designer, so all of my work goes through visual design with my consultation. ","No","No","","They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.",""
39,"2011/13/12","17:22:12","Working with Developers Survey","interaction designer","5","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (financial services)","Part of a large design group","Visual Designers, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Architects","No.","","Information architecture, Interaction design, User interface design, UI specification, UI prototyping","HTML, CSS, JavaScript, jQuery, Java, Perl, PHP","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing, Bug reporting","","The developers use it, but I do not.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","Yes, I am part of a central design organization that nominally \"owns\" the UI. But, as with many large companies, the details are in the soft skills.","","No","","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship., I interact with them as little as possible., i intimidate them., They consider me to be the one that \"makes things pretty\"., They have no respect for, or understanding of, what I do., They hate me., Other, please specify (Depends on the engineering team!)","It's a large, process-heavy (waterfall) company. I originally started working in a little pocket of innovation that worked very closely with front-end engineering. Unfortunately, our innovations have been quite successful, so we are slowly being swallowed up by the larger organization. \"Governance\" is a four letter word. :-("
40,"2011/13/12","17:27:41","Working with Developers Survey","UX designer","7","Freelance / Contract","Working on an external client's products/services","UX/Design firm","Part of a large design group","Visual Designers, Information Architects, Industrial Designers, Interaction Designers, Service Designers, Usability Researchers","No.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI prototyping","HTML, CSS, ActionScript, JavaScript, jQuery, YUI","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing","","Nobody at my company uses it.","I use it for version control of my design deliverables.","We work together during the design phase, but I don't have much input during implementation.","","Yes","Yes","Kickoff meatting","I consider some of them to be good friends., We do things together socially outside of work., i intimidate them.",""
41,"2011/13/12","18:45:26","Working with Developers Survey","Web Producer","11","Small Company (100 employees or less)","Other, please specify (Both)","Other, please specify (E-commerce, data services)","Other, please specify (We have a graphics team that supports marketing. My roll works exclusively with the web team.)","Information Architects, Front End Developers, Back End Developers","Yes, in the same room.","","Visual design, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","HTML, CSS, JavaScript, jQuery, YUI, DOJO, Prototype, Ruby, PHP, C#, Visual Basic, .NET, XML, XSLT","Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Functional testing, Usability testing, Bug fixing","","I am assigned tasks by other members of my team through it., I use it to record effort estimates and/or time tracking., I receive bug reports to be fixed through it.","I use it for version control of my production code.","I work integrally with the developers throughout all project phases.","","Yes","No","A lot of times I'll run visual and functional ideas by them.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., i intimidate them., They consider me to be the one that \"makes things pretty\".","I started out as a developer and have morphed into a design role. Therefore, I've got as much, if not more development experience as the rest of the development team. They tend to be very respectful of my role because they know that I've done theirs."
42,"2011/13/12","19:03:00","Working with Developers Survey","Chief Product Officer","17","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","The only designer","Visual Designers, Interaction Designers, Front End Developers, Back End Developers, Software Architects","Yes, in the same room.","Small software company, spun out of a design firm (and therefore probably more attuned to design process than most).","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","HTML, CSS, JavaScript, Moo Tools, XML, XSLT","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation, Functional testing, Usability testing, Bug reporting, Bug fixing, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my design deliverables., I use it for version control of my prototype code., I use it for version control of my production code.","I work integrally with the developers throughout all project phases.","Nothing formal like that, but it's expected and assumed.","Yes","Yes","Yes. Wireframing, requirements analysis, system abstractions, etc. Also, at a fine grained level, we discuss specific interactions.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.","Our CTO and I work in close partnership on everything the company does. We very rarely disagree, and when we do we discuss the options and usually come up with a better solution than either of us started with. Given that we're tied at the hip, there isn't room for others on the development team to try to divide us."
43,"2011/13/12","19:04:59","Working with Developers Survey","Senior Experience Architect","17 yrs","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Software Architects, Other, please specify (Content Developers (writers, taxonomists))","Yes, in the same building.","","Visual design, Information architecture, Interaction design, Usability evaluation","HTML, CSS","User research, Wireframe creation, Design documentation, Functional testing, Usability testing, Other, please specify (null)","","I create tasks for other team members in it., I report bugs in it.","The developers use it, but I do not.","We work together during the design phase, but I don't have much input during implementation.","No, but designers are asking to be more involved in development phases.","No","No","After wireframes are nearly complete, developers see them and offer suggestions.","We do things together socially at work (e.g. have lunch)., I respect their skills and value their input., They intimidate me., Other, please specify (They have some, but not enough, understanding of what I do.)",""
44,"2011/13/12","20:17:55","Working with Developers Survey","Sr. User Experience Designer/Product Manager","4","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Financial services)","Part of a small design team","Interaction Designers, Front End Developers, Back End Developers","No.","The designers for my product sit together. Most of the developers sit together in a different building, but some are in other states.","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","HTML, CSS, jQuery, Perl, PHP","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing, Bug reporting","","I report bugs in it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","No","Rarely. They're always so busy building the current release's projects that they can't take time away to look at future work.","I consider some of them to be good friends., They respect my skills and value my contributions., I respect their skills and value their input., They have no respect for, or understanding of, what I do.","I get most frustrated when, after providing a pixel-perfect mockup, I see the finished implementation during the testing phase and it's drastically different than what I spec'd (fonts, colors, sizes, spacing, alignment, positioning, etc)."
45,"2011/13/12","20:25:33","Working with Developers Survey","Associate Director of Research","5","Other, please specify (Small development shop in a large academic institution)","Doing work on your own company's products/services","Other, please specify (Education)","Part of a small design team","Visual Designers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","Yes, in the same building.","My team is rather unconventional as indicated by a few of the previous answers. It's a very small team in which people serve multiple roles that exceed their job titles.","Interaction design, User interface design, Usability evaluation, UI prototyping","HTML, CSS","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation, Functional testing, Usability testing","Although my coding skills are relatively minimal, I work closely with my developers and am sometimes asked to do a sort of light weight peer programming to provide an extra set of eyes/help to raise development questions. ","Other, please specify (We are currently looking for a common issue tracking software for our developers to use. I will likely not use it much.)","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","We're such a small team that all design essentially brings the whole team to bear on UI design work including user testing although I lead those efforts. ","No","Yes","Yes, see above (Q 17).","I consider some of them to be good friends., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
46,"2011/13/12","21:28:35","Working with Developers Survey","Director of User Experience","15","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Front End Developers, Back End Developers","Yes, in the same room.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","HTML, CSS, JavaScript, jQuery, PHP, XML, XSLT","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting, Bug fixing","","I report bugs in it.","I use it for version control of my design deliverables., I use it for version control of my prototype code., I use it for version control of my production code.","Developers regularly come to me with questions during implementation.","","No","No","","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
47,"2011/13/12","21:47:24","Working with Developers Survey","Senior Information Architect","10","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Utility)","Part of a small design team","Visual Designers, Information Architects, Front End Developers, Software Architects","Yes, in the same building.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting","","I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","Yes","","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
48,"2011/13/12","22:37:07","Working with Developers Survey","Principal, User Experience Designer","8","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","The only designer","Visual Designers, Software Architects","Yes, in the same building.","","Visual design, Interaction design","HTML, CSS, Python, C++","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Design documentation","","I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","talking about implementation, and alternatives based on code possibilities/constraints","They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship., i intimidate them.",""
49,"2011/13/12","22:43:24","Working with Developers Survey","Partner","12","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","No.","","Interaction design","","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it., Other, please specify (We strongly recommend that we be part of the QA team for any product we design.)","Nobody at my company uses it.","I work integrally with the developers throughout all project phases.","","No","No","Yes, we bring them in at the beginning -- probably just a lead, and then ramp them up over time. It's an ongoing conversation.","I consider some of them to be good friends., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., They consider me to be the one that \"makes things pretty\"., They have no respect for, or understanding of, what I do., Other, please specify (varies widely from client to client -- we work hard to develop a good and respectful relationship with them)",""
50,"2011/13/12","22:52:55","Working with Developers Survey","User Experience Manager","5","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Visual Designers, Information Architects, Usability Researchers, Front End Developers, Back End Developers, Software Architects","Yes, in the same room.","We follow an agile process. I do all UX-related tasks (user research, testing, etc) as well as IA, writing, etc. I work closely with one visual designer. We do all design work WITH the developers during sprint planning. We have recently moved towards this from a waterfall design process and it is working beautifully.","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","HTML, CSS, ActionScript, JavaScript, jQuery, Java","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Usability testing, Bug reporting, Writing of user guides or training materials","","I report bugs in it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","No. We have created our processes from the ground up and built a working relationship between development and design. ","","No","Yes. They do all the planning and sketching with us. They participate in the creation of wireframes and specifications and are invited to/receive feedback from all research activities. ","We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
51,"2011/13/12","23:53:50","Working with Developers Survey","Sr. User Experience Engineer","5-11, depending on how you count","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Other, please specify (only UX resource for our product line)","Front End Developers, Back End Developers, Software Architects","Yes, in the same room.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS, JavaScript, YUI","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","No. Given our limited UX team (me), I don't have the resources for mandated participation in every design process. I participate directly in high value projects, provide a sounding board for anyone who needs me, and encourage good practice (early mockups and informal testing) for all teams. ","Other, please specify (Used to, try to avoid doing so. )","No","Developers participate heavily in design activities. Occasionally they lead activities, and I consult. Other times I lead higher profile design efforts. But every design activity is done with developer participation. ","I consider some of them to be good friends., We do things together socially outside of work., They respect my skills and value my contributions., I respect their skills and value their input.",""
52,"2011/14/12","01:06:01","Working with Developers Survey","UX Designer","1","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","The only designer","Front End Developers, Back End Developers","Yes, in the same room.","","Information architecture, Interaction design, User interface design","HTML, CSS, Python","Requirements analysis, Wireframe creation","","Nobody at my company uses it.","Nobody at my company uses it.","I work integrally with the developers throughout all project phases.","","No","No","","",""
53,"2011/14/12","01:53:49","Working with Developers Survey","CEO","18","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a large design group","Visual Designers, Interaction Designers, Front End Developers, Software Prototypers","No.","i am running a ux design firm.","User interface design","HTML, CSS, JavaScript, Prototype, Java","User research, Requirements analysis, UI sketching, Physical prototyping (e.g. paper), Usability testing","","Nobody at my company uses it.","Nobody at my company uses it.","Rarely. I pass my designs over the wall.","","No","No","","They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.",""
54,"2011/14/12","02:16:52","Working with Developers Survey","lab manager","2","Large Company (more than 100 employees)","Other, please specify (null)","Other, please specify (null)","Part of a large design group","Visual Designers, Industrial Designers, Interaction Designers, Service Designers","Yes, in the same building.","","Visual design, Interaction design, User interface design, Other, please specify (null)","Prototype, Processing, .NET","User research, Requirements analysis, Other, please specify (null)","","Nobody at my company uses it.","Nobody at my company uses it.","I work integrally with the developers throughout all project phases.","yes, because the student need tutor.","No","No","yes, they need to know what can be create,and adjust the design accord on the condition.","We do things together socially at work (e.g. have lunch)., It is a purely business relationship.",""
55,"2011/14/12","06:23:30","Working with Developers Survey","","","","","","","","","","","","","","","","","","","","","",""
56,"2011/14/12","06:29:55","Working with Developers Survey","UX Lead for Products","15","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Other, please specify (Manage design team)","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Architects, Other, please specify (Product Management)","Yes, in the same room.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, Other, please specify (Product Management, Design Research, UX Strategy, )","","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for other team members in it., I receive bug reports to be fixed through it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","Yes","Development managers, the Product Owner, and lead developers all participate actively in design activities, requirements definition, evaluation efforts, and iteration of designs.","We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
57,"2011/14/12","08:20:45","Working with Developers Survey","Associate Professor","20","Other, please specify (University)","Other, please specify (Doing my own research projects)","Other, please specify (University, HCI research)","Other, please specify (one of several independent designers)","Visual Designers, Industrial Designers, Interaction Designers, Service Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Other, please specify (Industrial managers, IT staff)","Other, please specify (I have several labs that colocate dev and design, but I have a private office.)","I work hand in hand with technical colleagues. We are equal partners in our research.","Visual design, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, Other, please specify (service design, design theory, research through design)","Prototype","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Functional testing, Other, please specify (promotion, fund raising)","Nothing here about who goes out and gets the work. In my experience, the person who brings in the money has the power.","Nobody at my company uses it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","I function as both management and as design lead. So everyone uses the processes I require.","No","No","Developers help with user testing and critique of design ideas","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., i intimidate them., Other, please specify (They make the things I imagine actually work)",""
58,"2011/14/12","13:14:07","Working with Developers Survey","Design Director","12","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Internet Services)","Part of a large design group","Visual Designers, Interaction Designers, Usability Researchers, Front End Developers","Other, please specify (null)","","","","","","","","","","","","","",""
59,"2011/14/12","13:20:05","Working with Developers Survey","Business Analyst","8","Small Company (100 employees or less)","Working on an external client's products/services","Software development firm","The only designer","Front End Developers, Back End Developers, Software Architects","Yes, in the same building.","","Information architecture, User interface design, UI prototyping","HTML","Requirements analysis, Wireframe creation, Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it.","I use it for version control of my design deliverables.","I work integrally with the developers throughout all project phases.","","No","No","","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
60,"2011/14/12","14:10:47","Working with Developers Survey","Sr Usability Engineer","6","Small Company (100 employees or less)","Other, please specify (Mix of company's products and clients producsts)","Other, please specify (UX design firm with our own product)","Part of a small design team","Interaction Designers, Usability Researchers, Front End Developers, Back End Developers","Yes, in the same room.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","","User research, Requirements analysis, Wireframe creation, Screen rendering (e.g. pixel-perfect mockups), Usability testing, Bug reporting","","The developers use it, but I do not., I create tasks for other team members in it., I report bugs in it., I attach design deliverables to tasks/issues in it., Other, please specify (Not used regularly)","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","Since we are UX company, the product is developed with UX first along with inputs from the developers about feasibility.","No","No","Sometimes, mostly input ideas while discussing a new feature.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
61,"2011/14/12","15:00:59","Working with Developers Survey","Interaction Designer","5","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Visual Designers, Back End Developers","Yes, in the same room.","","UI prototyping","HTML, CSS, JavaScript","Wireframe creation, Digital prototyping (e.g. HTML, Flash), Implementation (e.g. writing production HTML and CSS))","","","","","","","","","",""
62,"2011/14/12","15:18:22","Working with Developers Survey","HCD Lead","15","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (hardware, software, and services)","Part of a small design team","Front End Developers, Back End Developers, Software Architects","Yes, in the same building.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","Other, please specify (WPF, XAML)","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it.","I use it for version control of my design deliverables.","I work integrally with the developers throughout all project phases.","HCD is integrated in the project plan, so we have design deliverables and evaluations as inputs to SW design and implementation.","No","No","developers collablorate in design sessions and evaluate alternatives, mostly for input on feasibility and scope. sometimes they help with prototyping.","They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.",""
63,"2011/14/12","17:27:18","Working with Developers Survey","UX manager","20","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Software and consulting)","The only designer","Front End Developers, Back End Developers, Software Architects, Other, please specify (Product manager)","Yes, in the same building.","Our consultants use our software daily so I'm able to do user research on site.","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation","","User research, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation","","The developers use it, but I do not.","I use it for version control of my design deliverables.","Other, please specify (Not sure yet. I haven't been here long enough.)","UI design informs creation of user stories for development.","No","No","Brainstorming sessions for aspects of the UI. Frequent consultation about what is possible, how things work.","They respect my skills and value my contributions., I respect their skills and value their input.",""
64,"2011/14/12","18:09:54","Working with Developers Survey","UX/Interaction Designer","15","Freelance / Contract","","Software development firm","The only designer","Front End Developers","No.","We form a two-person team. I design mostly and he develops. ","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","Review, comment, propose alternatives.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
65,"2011/14/12","19:11:23","Working with Developers Survey","","","","","","","","","","","","","","","","","","","","","",""
